didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
7388;Wilderswil;01.01.2021;;IO 511;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6657027223, 7.86947421285;178
7483;Spiez;01.01.2013;;BN 365;Fluggepäck (Check-in am Bahnhof);46.6863921577, 7.68009797421;179
8054;Worblaufen;01.01.2010;;BN 511;Allgemeine Informationen;46.9788398969, 7.45762397105;180
8054;Worblaufen;01.01.2021;;BN 511;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9788398969, 7.45762397105;181
8086;Utzenstorf;01.01.1931;;BN 622;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1294777935, 7.5536509434;182
8089;Biberist Ost;01.01.2029;;BN 625;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1806269395, 7.56634577241;183
8187;Huttwil;;;BN 651;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1145970227, 7.84272110471;184
8261;Biglen;01.01.2029;;BN 633;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9244739309, 7.62701728972;185
8789;Sörenberg, Post;;;BN 212;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8217371263, 8.03451791917;186
8857;Hasliberg Goldern, Post;01.01.2021;;LZ 531;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.739659351, 8.19843169697;187
9060;Schiers;01.01.1931;;CH 511;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9679934413, 9.68835648854;188
9068;Klosters Platz;01.01.2013;;CH 540;Reisegepäck Express;46.8692118566, 9.8809363602;189
9072;Davos Dorf;;;CH 550;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8097194338, 9.84211236596;190
9073;Davos Platz;;;CH 560;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.7914664266, 9.82072566153;191
9179;Disentis/Mustér;;;CH 300;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.7049782556, 8.85502182084;192
9250;Bever;01.01.2027;;CH 742;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.5499061769, 9.88847669658;193
